seed,config,model,dataset,tokens_trained,layer,expert,count
42,medium,deepseekv4,tiny_shakespeare,1433600,2,2,529
42,medium,deepseekv4,tiny_shakespeare,1433600,2,3,510
42,medium,deepseekv4,tiny_shakespeare,1433600,2,4,549
42,medium,deepseekv4,tiny_shakespeare,1433600,2,5,509
42,medium,deepseekv4,tiny_shakespeare,1433600,2,6,433
42,medium,deepseekv4,tiny_shakespeare,1433600,2,7,520
42,medium,deepseekv4,tiny_shakespeare,1433600,3,0,474
42,medium,deepseekv4,tiny_shakespeare,1433600,3,1,457
42,medium,deepseekv4,tiny_shakespeare,1433600,3,2,569
42,medium,deepseekv4,tiny_shakespeare,1433600,3,3,535
42,medium,deepseekv4,tiny_shakespeare,1433600,3,4,498
42,medium,deepseekv4,tiny_shakespeare,1433600,3,5,509
42,medium,deepseekv4,tiny_shakespeare,1433600,3,6,483
42,medium,deepseekv4,tiny_shakespeare,1433600,3,7,571
42,medium,deepseekv4,tiny_shakespeare,1433600,4,0,496
42,medium,deepseekv4,tiny_shakespeare,1433600,4,1,516
42,medium,deepseekv4,tiny_shakespeare,1433600,4,2,589
42,medium,deepseekv4,tiny_shakespeare,1433600,4,3,437
42,medium,deepseekv4,tiny_shakespeare,1433600,4,4,454
42,medium,deepseekv4,tiny_shakespeare,1433600,4,5,475
42,medium,deepseekv4,tiny_shakespeare,1433600,4,6,578
42,medium,deepseekv4,tiny_shakespeare,1433600,4,7,551
42,medium,deepseekv4,tiny_shakespeare,1433600,5,0,510
42,medium,deepseekv4,tiny_shakespeare,1433600,5,1,534
42,medium,deepseekv4,tiny_shakespeare,1433600,5,2,502
42,medium,deepseekv4,tiny_shakespeare,1433600,5,3,469
42,medium,deepseekv4,tiny_shakespeare,1433600,5,4,515
42,medium,deepseekv4,tiny_shakespeare,1433600,5,5,519
42,medium,deepseekv4,tiny_shakespeare,1433600,5,6,519
42,medium,deepseekv4,tiny_shakespeare,1433600,5,7,528
42,medium,deepseekv4,tiny_shakespeare,1638400,0,0,392
42,medium,deepseekv4,tiny_shakespeare,1638400,0,1,260
42,medium,deepseekv4,tiny_shakespeare,1638400,0,2,386
42,medium,deepseekv4,tiny_shakespeare,1638400,0,3,876
42,medium,deepseekv4,tiny_shakespeare,1638400,0,4,400
42,medium,deepseekv4,tiny_shakespeare,1638400,0,5,681
42,medium,deepseekv4,tiny_shakespeare,1638400,0,6,291
42,medium,deepseekv4,tiny_shakespeare,1638400,0,7,810
42,medium,deepseekv4,tiny_shakespeare,1638400,1,0,371
42,medium,deepseekv4,tiny_shakespeare,1638400,1,1,399
42,medium,deepseekv4,tiny_shakespeare,1638400,1,2,891
42,medium,deepseekv4,tiny_shakespeare,1638400,1,3,490
42,medium,deepseekv4,tiny_shakespeare,1638400,1,4,659
42,medium,deepseekv4,tiny_shakespeare,1638400,1,5,294
42,medium,deepseekv4,tiny_shakespeare,1638400,1,6,562
42,medium,deepseekv4,tiny_shakespeare,1638400,1,7,430
42,medium,deepseekv4,tiny_shakespeare,1638400,2,0,500
42,medium,deepseekv4,tiny_shakespeare,1638400,2,1,557
42,medium,deepseekv4,tiny_shakespeare,1638400,2,2,527
42,medium,deepseekv4,tiny_shakespeare,1638400,2,3,406
42,medium,deepseekv4,tiny_shakespeare,1638400,2,4,504
42,medium,deepseekv4,tiny_shakespeare,1638400,2,5,515
42,medium,deepseekv4,tiny_shakespeare,1638400,2,6,573
42,medium,deepseekv4,tiny_shakespeare,1638400,2,7,514
42,medium,deepseekv4,tiny_shakespeare,1638400,3,0,532
42,medium,deepseekv4,tiny_shakespeare,1638400,3,1,492
42,medium,deepseekv4,tiny_shakespeare,1638400,3,2,512
42,medium,deepseekv4,tiny_shakespeare,1638400,3,3,548
42,medium,deepseekv4,tiny_shakespeare,1638400,3,4,518
42,medium,deepseekv4,tiny_shakespeare,1638400,3,5,483
42,medium,deepseekv4,tiny_shakespeare,1638400,3,6,471
42,medium,deepseekv4,tiny_shakespeare,1638400,3,7,540
42,medium,deepseekv4,tiny_shakespeare,1638400,4,0,502
42,medium,deepseekv4,tiny_shakespeare,1638400,4,1,530
42,medium,deepseekv4,tiny_shakespeare,1638400,4,2,527
42,medium,deepseekv4,tiny_shakespeare,1638400,4,3,446
42,medium,deepseekv4,tiny_shakespeare,1638400,4,4,381
42,medium,deepseekv4,tiny_shakespeare,1638400,4,5,651
42,medium,deepseekv4,tiny_shakespeare,1638400,4,6,516
42,medium,deepseekv4,tiny_shakespeare,1638400,4,7,543
42,medium,deepseekv4,tiny_shakespeare,1638400,5,0,486
42,medium,deepseekv4,tiny_shakespeare,1638400,5,1,508
42,medium,deepseekv4,tiny_shakespeare,1638400,5,2,514
42,medium,deepseekv4,tiny_shakespeare,1638400,5,3,465
42,medium,deepseekv4,tiny_shakespeare,1638400,5,4,583
42,medium,deepseekv4,tiny_shakespeare,1638400,5,5,560
42,medium,deepseekv4,tiny_shakespeare,1638400,5,6,466
42,medium,deepseekv4,tiny_shakespeare,1638400,5,7,514
42,medium,deepseekv4,tiny_shakespeare,1843200,0,0,335
42,medium,deepseekv4,tiny_shakespeare,1843200,0,1,229
42,medium,deepseekv4,tiny_shakespeare,1843200,0,2,356
42,medium,deepseekv4,tiny_shakespeare,1843200,0,3,883
42,medium,deepseekv4,tiny_shakespeare,1843200,0,4,408
42,medium,deepseekv4,tiny_shakespeare,1843200,0,5,697
42,medium,deepseekv4,tiny_shakespeare,1843200,0,6,317
42,medium,deepseekv4,tiny_shakespeare,1843200,0,7,871
42,medium,deepseekv4,tiny_shakespeare,1843200,1,0,381
42,medium,deepseekv4,tiny_shakespeare,1843200,1,1,368
42,medium,deepseekv4,tiny_shakespeare,1843200,1,2,935
42,medium,deepseekv4,tiny_shakespeare,1843200,1,3,501
42,medium,deepseekv4,tiny_shakespeare,1843200,1,4,621
42,medium,deepseekv4,tiny_shakespeare,1843200,1,5,310
42,medium,deepseekv4,tiny_shakespeare,1843200,1,6,557
42,medium,deepseekv4,tiny_shakespeare,1843200,1,7,423
42,medium,deepseekv4,tiny_shakespeare,1843200,2,0,496
42,medium,deepseekv4,tiny_shakespeare,1843200,2,1,509
42,medium,deepseekv4,tiny_shakespeare,1843200,2,2,548
42,medium,deepseekv4,tiny_shakespeare,1843200,2,3,397
42,medium,deepseekv4,tiny_shakespeare,1843200,2,4,486
42,medium,deepseekv4,tiny_shakespeare,1843200,2,5,606
42,medium,deepseekv4,tiny_shakespeare,1843200,2,6,614
42,medium,deepseekv4,tiny_shakespeare,1843200,2,7,440
42,medium,deepseekv4,tiny_shakespeare,1843200,3,0,567
42,medium,deepseekv4,tiny_shakespeare,1843200,3,1,571
42,medium,deepseekv4,tiny_shakespeare,1843200,3,2,445
42,medium,deepseekv4,tiny_shakespeare,1843200,3,3,628
42,medium,deepseekv4,tiny_shakespeare,1843200,3,4,362
42,medium,deepseekv4,tiny_shakespeare,1843200,3,5,526
42,medium,deepseekv4,tiny_shakespeare,1843200,3,6,492
42,medium,deepseekv4,tiny_shakespeare,1843200,3,7,505
42,medium,deepseekv4,tiny_shakespeare,1843200,4,0,565
42,medium,deepseekv4,tiny_shakespeare,1843200,4,1,528
42,medium,deepseekv4,tiny_shakespeare,1843200,4,2,487
42,medium,deepseekv4,tiny_shakespeare,1843200,4,3,524
42,medium,deepseekv4,tiny_shakespeare,1843200,4,4,521
42,medium,deepseekv4,tiny_shakespeare,1843200,4,5,538
42,medium,deepseekv4,tiny_shakespeare,1843200,4,6,474
42,medium,deepseekv4,tiny_shakespeare,1843200,4,7,459
42,medium,deepseekv4,tiny_shakespeare,1843200,5,0,506
42,medium,deepseekv4,tiny_shakespeare,1843200,5,1,484
42,medium,deepseekv4,tiny_shakespeare,1843200,5,2,515
42,medium,deepseekv4,tiny_shakespeare,1843200,5,3,462
42,medium,deepseekv4,tiny_shakespeare,1843200,5,4,545
42,medium,deepseekv4,tiny_shakespeare,1843200,5,5,559
42,medium,deepseekv4,tiny_shakespeare,1843200,5,6,507
42,medium,deepseekv4,tiny_shakespeare,1843200,5,7,518
42,medium,deepseekv4,tiny_shakespeare,2048000,0,0,387
42,medium,deepseekv4,tiny_shakespeare,2048000,0,1,247
42,medium,deepseekv4,tiny_shakespeare,2048000,0,2,372
42,medium,deepseekv4,tiny_shakespeare,2048000,0,3,895
42,medium,deepseekv4,tiny_shakespeare,2048000,0,4,401
42,medium,deepseekv4,tiny_shakespeare,2048000,0,5,669
42,medium,deepseekv4,tiny_shakespeare,2048000,0,6,285
