seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,small,native,wikitext2,validation,46080,3.171048164367676,23.832451595814568,4.574855461153296
42,small,native,wikitext2,validation,51200,3.1243247985839844,22.744532767047144,4.507447893043524
42,small,param_matched,wikitext2,validation,5120,5.276367664337158,195.65788792193854,7.612189463246101
42,small,param_matched,wikitext2,validation,10240,4.821097373962402,124.1012015112198,6.955373273058362
42,small,param_matched,wikitext2,validation,15360,4.438975811004639,84.68816055920043,6.404088389162457
42,small,param_matched,wikitext2,validation,20480,4.114414215087891,61.2163441469156,5.935844984270357
42,small,param_matched,wikitext2,validation,25600,3.8518385887145996,47.0795436238764,5.557028430243297
42,small,param_matched,wikitext2,validation,30720,3.651571273803711,38.53516780386498,5.268103768169209
42,small,param_matched,wikitext2,validation,35840,3.5061275959014893,33.318993038262846,5.058272895331022
42,small,param_matched,wikitext2,validation,40960,3.4017603397369385,30.016893496962595,4.907702772431237
42,small,param_matched,wikitext2,validation,46080,3.328922986984253,27.908267943406138,4.802620684823457
